,phrase,label,sentiment,subjectivity,language,count
Chris Warren,Chris Warren,PERSON,0.15151515151515152,0.27272727272727276,en,3.3
Bryan Norcross,Bryan Norcross,PERSON,0.24242424242424246,0.5530303030303031,en,3.3
Typhoon Kajiki,Typhoon Kajiki,PERSON,0.1313131313131313,0.29797979797979796,en,3.3
Marco Rubio,Marco Rubio,PERSON,0.04545454545454546,0.2272727272727273,en,3.3
Lee restrengthens,Lee restrengthens,PERSON,-0.5253386134067952,0.9081726354453628,en,3.3
Hurricane Isaac,Hurricane Isaac,PERSON,0.18267906336088155,0.2598140495867769,en,3.3
Amizia Renotte,Amizia Renotte,PERSON,-0.013528138528138535,0.4274891774891775,en,3.3
Tropical Stor,Tropical Stor,PERSON,-0.07575757575757576,0.196969696969697,en,3.3
Marjorie Taylor Greene,Marjorie Taylor Greene,PERSON,0.0,0.0,en,3.3
Tropical Storm Arthur,Tropical Storm Arthur,PERSON,0.4516129032258065,0.7634408602150539,en,3.0999999999999996
Jimmy Lai,Jimmy Lai,PERSON,0.2580645161290323,0.5161290322580646,en,3.0999999999999996
Ann Arbor,Ann Arbor,PERSON,-0.18817204301075272,1.263440860215054,en,3.0999999999999996
Nielsen Korea,Nielsen Korea,PERSON,0.06048387096774193,0.3347670250896058,en,3.0999999999999996
Facel Vega FV4 Typhoon,Facel Vega FV4 Typhoon,PERSON,-0.021831215379602486,0.4547083740632128,en,3.0999999999999996
Mario Cristobal,Mario Cristobal,PERSON,0.31182795698924737,0.8306451612903227,en,3.0999999999999996
Carson Hocevar,Carson Hocevar,PERSON,0.560117302052786,0.5014662756598242,en,3.0999999999999996
Xu Zewei,Xu Zewei,PERSON,-0.00806451612903226,0.00806451612903226,en,3.0999999999999996
Markwayne Mullin,Markwayne Mullin,PERSON,0.20283479960899317,0.3535353535353536,en,3.0999999999999996
Maria Cantwell,Maria Cantwell,PERSON,-0.009408602150537636,0.44265232974910407,en,3.0999999999999996
Jeremiah Smith,Jeremiah Smith,PERSON,0.11290322580645164,0.6774193548387096,en,3.0999999999999996
Cyclone Mitchell,Cyclone Mitchell,PERSON,-0.021027479091995222,0.3686977299880526,en,3.0999999999999996
Bill Gates,Bill Gates,PERSON,0.030465949820788523,0.36738351254480295,en,3.0999999999999996
Cyclone Jasper,Cyclone Jasper,PERSON,-0.03225806451612904,0.7741935483870969,en,3.0999999999999996
Tylen Riley,Tylen Riley,PERSON,0.10483870967741936,0.22580645161290325,en,3.0999999999999996
Rachel Feltman,Rachel Feltman,PERSON,0.48888888888888893,0.75,en,3.0
Bon Appétit,Bon Appétit,PERSON,-0.02121212121212122,0.15151515151515152,en,3.0
Typhoon Gaemi,Typhoon Gaemi,PERSON,-0.17857142857142858,0.5,en,2.8
Rob Marciano,Rob Marciano,PERSON,0.35714285714285715,0.6428571428571429,en,2.8
La Castellana,La Castellana,PERSON,0.07142857142857144,0.28571428571428575,en,2.8
Thomas Phifer,Thomas Phifer,PERSON,0.08705357142857144,0.3973214285714286,en,2.8
Neil Frank,Neil Frank,PERSON,-0.02083333333333334,0.16269841269841268,en,2.8
Peter Dodge,Peter Dodge,PERSON,0.0,0.0,en,2.8
Kat Cammack,Kat Cammack,PERSON,0.15625,0.2455357142857143,en,2.8
Bob Fenton,Bob Fenton,PERSON,0.2735969387755102,0.3724489795918367,en,2.8
Cyclone Chido,Cyclone Chido,PERSON,0.1925805675805676,0.2878787878787879,en,2.8
Tropical Storm Andrea,Tropical Storm Andrea,PERSON,0.10119047619047619,0.24603174603174605,en,2.8
Storm Milton,Storm Milton,PERSON,0.0,0.0,en,2.6
Tommy Wirkola,Tommy Wirkola,PERSON,-0.0030594405594405742,0.4994172494172495,en,2.5999999999999996
DÁNICA COTO,DÁNICA COTO,PERSON,-0.03846153846153848,0.3910256410256411,en,2.5999999999999996
Se hai scelto di non accettare,Se hai scelto di non accettare,PERSON,0.0,0.0,en,2.5999999999999996
puoi aderire,puoi aderire,PERSON,0.0,0.0,en,2.5999999999999996
Sean Paul,Sean Paul,PERSON,0.2397047397047397,0.43434343434343436,en,2.5999999999999996
Cyclone Michaung,Cyclone Michaung,PERSON,-0.09407407407407407,0.1451851851851852,en,2.5
Pam Bondi,Pam Bondi,PERSON,0.020833333333333343,0.20833333333333334,en,2.4
Kim Min Ha,Kim Min Ha,PERSON,-0.03240740740740741,0.1643518518518519,en,2.4
Ahkeem Mesidor,Ahkeem Mesidor,PERSON,0.020833333333333336,0.14583333333333334,en,2.4
Joe Cash,Joe Cash,PERSON,-0.09027777777777778,0.7187500000000001,en,2.4
Al-Quadin Muhammad,Al-Quadin Muhammad,PERSON,0.0,0.0,en,2.4
Hurricane Margot,Hurricane Margot,PERSON,0.43750000000000006,1.1250000000000002,en,2.4
Kim Sang Ho,Kim Sang Ho,PERSON,-0.22280092592592593,0.6030092592592593,en,2.4
Boris Pistorius,Boris Pistorius,PERSON,0.0,0.0,en,2.4
Kara Lawson,Kara Lawson,PERSON,-0.3333333333333334,0.3888888888888889,en,2.4
Flax Typhoon,Flax Typhoon,PERSON,0.16666666666666669,0.20833333333333334,en,2.4
Nita Strauss,Nita Strauss,PERSON,0.3784722222222222,0.625,en,2.4
Rice Owls,Rice Owls,PERSON,0.39583333333333337,0.5208333333333334,en,2.4
James Altucher,James Altucher,PERSON,0.31920770202020204,0.49515993265993274,en,2.4
Tropical Storm Melissa,Tropical Storm Melissa,PERSON,0.21645021645021642,0.8928571428571427,en,2.2
Cyclone Biparjoy,Cyclone Biparjoy,PERSON,0.1303030303030303,0.6992424242424241,en,2.2
Jeff Masters,Jeff Masters,PERSON,-0.43333333333333324,0.4126984126984127,en,2.1
Storm Nadine,Storm Nadine,PERSON,-0.06349206349206349,0.2857142857142857,en,2.1
Sean Walker,Sean Walker,PERSON,0.3833333333333333,0.5166666666666666,en,2.0
Jordan Staal,Jordan Staal,PERSON,0.3833333333333333,0.5166666666666666,en,2.0
Santiago de Cuba,Santiago de Cuba,PERSON,0.0,0.0,en,2.0
Wang et al,Wang et al,PERSON,0.07222222222222222,0.3305555555555556,en,2.0
Storm Emily,Storm Emily,PERSON,0.534375,0.771875,en,2.0
SANTIAGO DE,SANTIAGO DE,PERSON,0.2642857142857143,0.6035714285714285,en,2.0
JOHN MYERS JR,JOHN MYERS JR,PERSON,0.0,0.0,en,2.0
Rob Rein,Rob Rein,PERSON,0.0,0.0,en,1.9000000000000001
Hurricane Kirk,Hurricane Kirk,PERSON,0.0,0.13157894736842105,en,1.9
Nick Gaidos,Nick Gaidos,PERSON,0.042884990253411304,0.5068226120857701,en,1.9
Carl Schreck,Carl Schreck,PERSON,-0.10526315789473685,0.10526315789473685,en,1.9
Jonathan Head,Jonathan Head,PERSON,0.0,1.0526315789473684,en,1.9
Cao Xi,Cao Xi,PERSON,0.13456937799043062,0.3498803827751196,en,1.9
Junior Ebanks,Junior Ebanks,PERSON,-0.10526315789473685,0.15789473684210525,en,1.9
Jeffrey Ferrer,Jeffrey Ferrer,PERSON,0.2105263157894737,0.5263157894736842,en,1.9
Leslie Shapiro,Leslie Shapiro,PERSON,0.09868421052631579,0.19736842105263158,en,1.9
Alex DaSilva,Alex DaSilva,PERSON,0.026315789473684213,0.07894736842105263,en,1.9
Helene Barrels,Helene Barrels,PERSON,0.14354066985645933,0.4784688995215311,en,1.9
William Shakespeare,William Shakespeare,PERSON,0.2105263157894737,0.4210526315789474,en,1.9
typhoon Ragasa,typhoon Ragasa,PERSON,0.13333333333333336,0.5578947368421053,en,1.9
Storm Ileana,Storm Ileana,PERSON,-0.07894736842105264,0.07894736842105264,en,1.9
Mike Smalls Jr,Mike Smalls Jr,PERSON,-0.8421052631578948,1.0526315789473684,en,1.9
Typhoon Fung Wong,Typhoon Fung Wong,PERSON,0.0,0.0,en,1.9
Aaron Steckelberg,Aaron Steckelberg,PERSON,0.09868421052631579,0.19736842105263158,en,1.9
John Bolton,John Bolton,PERSON,0.3099415204678363,0.6783625730994153,en,1.9
Dana Morris Dixon,Dana Morris Dixon,PERSON,-0.043859649122807015,0.5043859649122807,en,1.9
Rafael Strengthens,Rafael Strengthens,PERSON,0.0,0.0,en,1.9
Amy Sweezy,Amy Sweezy,PERSON,0.0,0.0,en,1.9
Lopez et al,Lopez et al,PERSON,-0.07017543859649122,0.5131578947368421,en,1.9
Stephen Curry,Stephen Curry,PERSON,-1.0526315789473684,1.0526315789473684,en,1.9
Heidi Ganaden,Heidi Ganaden,PERSON,0.0,0.08771929824561403,en,1.9
Luis Artur,Luis Artur,PERSON,0.0,0.6842105263157895,en,1.9
Stephen Currys,Stephen Currys,PERSON,-0.780701754385965,0.8070175438596491,en,1.9
St Vincent,St Vincent,PERSON,0.0,0.0,en,1.9
Dan Green,Dan Green,PERSON,0.0,0.6842105263157895,en,1.9
Rohan Thompson,Rohan Thompson,PERSON,0.0,0.5263157894736842,en,1.9
Tropical Storm Leslie,Tropical Storm Leslie,PERSON,0.008771929824561394,0.44736842105263164,en,1.9
Liz Stephens,Liz Stephens,PERSON,0.0,0.6842105263157895,en,1.9
Steve Ryan,Steve Ryan,PERSON,0.6744639376218323,0.7524366471734892,en,1.9
Greg Locke,Greg Locke,PERSON,0.02631578947368422,0.6578947368421053,en,1.9
David Green,David Green,PERSON,0.2368421052631579,0.6315789473684211,en,1.9
Siyang Li,Siyang Li,PERSON,-0.17543859649122806,0.17543859649122806,en,1.9
Tan Sri Muhyiddin Yassin,Tan Sri Muhyiddin Yassin,PERSON,0.09210526315789473,0.5394736842105263,en,1.9
Michael Brennan,Michael Brennan,PERSON,-0.0324561403508772,0.3219298245614035,en,1.9
Weather Channel,Weather Channel,PERSON,0.07974481658692184,0.21929824561403508,en,1.9
John Smith,John Smith,PERSON,0.4385964912280702,0.5263157894736842,en,1.9
Wataru Hikosaka,Wataru Hikosaka,PERSON,0.0,0.0,en,1.9
DAVID SHARP,DAVID SHARP,PERSON,-0.04739120528594214,0.5567327409432673,en,1.9
Janet Mills,Janet Mills,PERSON,-0.10227272727272729,0.5801435406698565,en,1.9
Vaughn Mullen,Vaughn Mullen,PERSON,0.0,0.0,en,1.9
Typhoon Khanun,Typhoon Khanun,PERSON,-0.2280701754385965,0.21052631578947367,en,1.9
Nigel Latta,Nigel Latta,PERSON,0.0,0.0,en,1.9
Cyclone Arthur,Cyclone Arthur,PERSON,0.05921052631578947,0.37719298245614036,en,1.9
Stephanie Elam,Stephanie Elam,PERSON,0.05263157894736841,0.7894736842105263,en,1.9
Brian McNoldy,Brian McNoldy,PERSON,0.07518796992481203,0.14097744360902256,en,1.9
TS Margot,TS Margot,PERSON,0.15779505582137163,0.33811802232854865,en,1.9
Rachel Weaver,Rachel Weaver,PERSON,0.3157894736842105,0.5263157894736842,en,1.9
Ian Lee,Ian Lee,PERSON,0.2631578947368421,0.4736842105263158,en,1.9
Jaclyn Rothenberg,Jaclyn Rothenberg,PERSON,0.0,0.0,en,1.9
Whitney Peak,Whitney Peak,PERSON,0.0,0.0,en,1.9
Joseph Duckworth,Joseph Duckworth,PERSON,-0.0068226120857699905,0.37231968810916183,en,1.9
Medicane Jolina,Medicane Jolina,PERSON,0.18092105263157895,0.8881578947368421,en,1.9
Gavin Newsom,Gavin Newsom,PERSON,0.2631578947368421,0.5263157894736842,en,1.9
Moises Padilla,Moises Padilla,PERSON,-0.09774436090225565,0.12781954887218047,en,1.9
Typhoon Rai,Typhoon Rai,PERSON,-0.04210526315789474,0.18947368421052632,en,1.9
Storm Cindy,Storm Cindy,PERSON,-0.013157894736842118,0.3508771929824561,en,1.9
